ORGANIZATION,CITY,STATE,AWARDS,FUNDING,YEAR
"MAGNETIC TIDES, INC.",EL CERRITO,CA,4,1397789,2024
MAGNIFY BIOSCIENCES INC.,SEWICKLEY,PA,1,457026,2024
MAGNUS MEDICAL INC,BURLINGAME,CA,2,464454,2024
MAINEHEALTH,PORTLAND,ME,25,16700967,2024
MAINSQUARE CO,SAN FRANCISCO,CA,1,424754,2024
"MAKSCIENTIFIC, LLC",BURLINGTON,MA,1,572743,2024
MALCOVA INC,NEWARK,CA,1,1134189,2024
"MANAGED HEALTH CONNECTIONS, LLC",SPOKANE,WA,1,1338347,2024
"MANDALMED, INC.",SAN FRANCISCO,CA,1,306872,2024
"MANZANITA PHARMACEUTICALS, INC.",WOODSIDE,CA,1,905526,2024
"MAPHABIT, INC.",Atlanta,GA,4,2571782,2024
MARCH BIOSCIENCES INC,HOUSTON,TX,1,1013623,2024
MARIAN UNIVERSITY,INDIANAPOLIS,IN,2,299353,2024
MARINE BIOLOGICAL LABORATORY,WOODS HOLE,MA,22,5567552,2024
"MARK THERAPEUTICS, INC.",HINGHAM,MA,1,494040,2024
"MARKER THERAPEUTICS, INC.",Houston,TX,4,2654784,2024
"MARPAM PHARMA, LLC",St. Paul,MN,2,1302697,2024
MARQUETTE UNIVERSITY,MILWAUKEE,WI,21,7438361,2024
MARSHALL UNIVERSITY,Huntington,WV,8,6483575,2024
MARSHFIELD CLINIC RESEARCH FOUNDATION,MARSHFIELD,WI,4,9347673,2024
MARTINEAU & ASSOCIATES,MENLO PARK,CA,2,1009820,2024
"MARYLAND TREATMENT CENTERS, INC.",BALTIMORE,MD,1,576675,2024
MARYMOUNT UNIVERSITY,ARLINGTON,VA,1,20600,2024
"MASONIC MEDICAL RESEARCH LABORATORY, INC",UTICA,NY,4,2304418,2024
MASSACHUSETTS EYE AND EAR INFIRMARY,BOSTON,MA,62,35665492,2024
MASSACHUSETTS GENERAL HOSPITAL,BOSTON,MA,1055,655235087,2024
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,CAMBRIDGE,MA,222,112339279,2024
"MASSACHUSETTS NEURO TECHNOLOGY, INC.",WESTON,MA,1,183153,2024
MASSACHUSETTS STATE DEPT OF PUB HEALTH,BOSTON,MA,1,32902,2024
"MASSMATRIX, INC.",Columbus,OH,1,860633,2024
MATERIALS NOVA LIMITED LIABILITY COMPANY,AUSTIN,TX,1,306872,2024
"MAX BIOPHARMA, INC.",LOS ANGELES,CA,1,889701,2024
MAX PLANCK FLORIDA CORPORATION,Jupiter,FL,10,7660371,2024
"MAX-IR LABS, LLC",Dallas,TX,1,576504,2024
MAXWELL BIOMEDICAL INC,SAN DIEGO,CA,1,749419,2024
MAYO CLINIC JACKSONVILLE,JACKSONVILLE,FL,62,58440295,2024
MAYO CLINIC ARIZONA,SCOTTSDALE,AZ,52,26130062,2024
MAYO CLINIC ROCHESTER,ROCHESTER,MN,439,278615843,2024
MC LAUGHLIN RESEARCH INSTITUTE,GREAT FALLS,MT,2,3628886,2024
MCLEAN HOSPITAL,BELMONT,MA,65,35605260,2024
"MCM6 THERAPEUTICS, INC.",LEXINGTON,MA,1,473216,2024
"MEANINGFUL MEASUREMENT, INC.",SOUTH BEND,IN,1,285707,2024
"MECHANOBIOLOGIX, LLC",NEWTON,MA,1,306748,2024
"MEDCHEM PARTNERS, LLC",LEXINGTON,MA,1,180642,2024
"MEDCOGNITION, INC.",SAN ANTONIO,TX,1,100000,2024
"MEDFREE, INC.",FREMONT,CA,1,275530,2024
MEDGAR EVERS COLLEGE,NEW YORK,NY,1,133661,2024
MEDICAL COLLEGE OF WISCONSIN,MILWAUKEE,WI,233,108521437,2024
"MEDICAL CYBERWORLDS, INC.",VERONA,WI,1,307801,2024
MEDICAL ELUTION DEVICES LLC,AUSTIN,TX,1,275752,2024
MEDICAL UNIVERSITY OF SOUTH CAROLINA,CHARLESTON,SC,283,128172705,2024
"MEDIGEN, INC.",FREDERICK,MD,1,562567,2024
"MEDIOMICS, LLC",SAINT LOUIS,MO,1,745796,2024
MEDITRACE LLC,Gainesville,FL,1,843097,2024
MEDLUIDICS LLC,ELK GROVE,CA,1,193130,2024
"MEDNET, INC.",NEW YORK,NY,1,2000000,2024
"MEDOSOME BIOTEC, LLC",Alachua,FL,1,350000,2024
MEDSTAR HEALTH RESEARCH INSTITUTE,HYATTSVILLE,MD,6,2637226,2024
"MEGADALTON SOLUTIONS, INC",BLOOMINGTON,IN,1,294200,2024
MEHARRY MEDICAL COLLEGE,NASHVILLE,TN,22,13421555,2024
"MELLICELL, INC.",Newton,MA,1,295923,2024
"MERCATOR MEDSYSTEMS, INC.",San Leandro,CA,2,2636379,2024
MERCER UNIVERSITY MACON,MACON,GA,6,1458053,2024
"MERIDIAN BIOTECH, LLC",WOODLANDS,TX,1,909318,2024
MERLIN THERAPEUTICS INC,KING OF PRUSSIA,PA,1,699559,2024
MERRIMACK COLLEGE,NORTH ANDOVER,MA,1,563380,2024
"MESO SCALE DIAGNOSTICS, LLC",ROCKVILLE,MD,3,1973878,2024
METABOLITEDX CORP,REDMOND,WA,1,306500,2024
"METABOLON, INC.",DURHAM,NC,1,298264,2024
METANOIA BIO LLC,BEVERLY HILLS,CA,1,295257,2024
METHODIST HOSPITAL RESEARCH INSTITUTE,HOUSTON,TX,99,51210907,2024
METROPOLITAN STATE UNIVERSITY OF DENVER,DENVER,CO,1,344055,2024
"METSELEX, INC.",apple valley,MN,1,1280101,2024
MGH INSTITUTE OF HEALTH PROFESSIONS,Charlestown,MA,13,3923613,2024
MIAMI UNIVERSITY OXFORD,OXFORD,OH,13,4780050,2024
MICHIGAN PUBLIC HEALTH INSTITUTE,OKEMOS,MI,2,540317,2024
MICHIGAN STATE UNIVERSITY,EAST LANSING,MI,187,78125535,2024
MICHIGAN TECHNOLOGICAL UNIVERSITY,HOUGHTON,MI,14,4318989,2024
"MICROBIOTIX, INC",WORCESTER,MA,3,3072461,2024
"MICROBRIGHTFIELD, LLC",WILLISTON,VT,4,3832683,2024
"MICROGEN, LLC",LA MARQUE,TX,2,1612867,2024
"MICRO-LEADS, INC.",Somerville,MA,1,640917,2024
"MICRORID TECHNOLOGIES, INC.",DIX HILLS,NY,1,300000,2024
"MICROSENSOR LABS, LLC",CHICAGO,IL,1,50000,2024
"MICROSTRUCTURE IMAGING, INC.",NEW YORK,NY,1,353942,2024
MIDDLE TENNESSEE STATE UNIVERSITY,MURFREESBORO,TN,3,625144,2024
MIDDLEBURY COLLEGE,MIDDLEBURY,VT,2,763040,2024
"MIDWEST BIOPROCESSING CENTER, LLC",Peoria,IL,1,867968,2024
MIDWEST RESEARCH INSTITUTE,KANSAS CITY,MO,16,15756099,2024
MIDWESTERN UNIVERSITY,DOWNERS GROVE,IL,4,1082002,2024
MIDWESTERN UNIVERSITY (GLENDALE AZ),GLENDALE,AZ,2,1092258,2024
"MIGRANT CLINICIANS NETWORK, INC.",AUSTIN,TX,1,375000,2024
MILLION MARKER WELLNESS INC.,EL CERRITO,CA,3,1129246,2024
"MIMETAS US, INC.",GAITHERSBURG,MD,1,2500,2024
"MINDTRACE TECHNOLOGIES, INC.",PITTSBURGH,PA,1,922418,2024
MINNESOTA HEALTHSOLUTIONS CORPORATION,SAINT PAUL,MN,5,2993224,2024
"MINUTIA, INC.",OAKLAND,CA,2,1194998,2024
"MIRA MEDICAL, LLC",POTOMAC,MD,2,613501,2024
"MIRAVISTA DIAGNOSTICS, LLC",INDIANAPOLIS,IN,1,983736,2024
"MIRECULE, INC.",Gaithersburg,MD,2,2023010,2024
"MIRESOURCE, INC.",Foster city,CA,1,498809,2024
MIRIAM HOSPITAL,PROVIDENCE,RI,38,18758243,2024
"MIRIMUS, INC.",Brooklyn,NY,1,350000,2024
MISSISSIPPI STATE UNIVERSITY,MISSISSIPPI STATE,MS,9,2803734,2024
"MISSOURI BREAKS RESEARCH, INC.",EAGLE BUTTE,SD,5,2352154,2024
MISSOURI STATE UNIVERSITY,SPRINGFIELD,MO,1,427500,2024
MISSOURI UNIVERSITY OF SCIENCE & TECHNOLOGY,ROLLA,MO,3,956200,2024
"MITEGEN, LLC",ITHACA,NY,1,306852,2024
MITOPOWER LLC,PALO ALTO,CA,1,1500000,2024
"MITOVATION, INC.",ANN ARBOR,MI,1,99400,2024
MITRE CORPORATION,MC LEAN,VA,4,6321602,2024
MIXEDLCMEDIA LLC,WEST NEWTON,MA,1,306860,2024
"MOAI TECHNOLOGIES, LLC",MAPLE GROVE,MN,1,808635,2024
MOBIUS SCIENTIFIC INC.,WASHINGTON,DC,1,276758,2024
"MODALITY.AI , INC",SAN FRANCISCO,CA,1,976474,2024
MODIFI BIOSCIENCES INC,New Haven,CT,1,892099,2024
"MODULATION THERAPEUTICS, INC.",MORGANTOWN,WV,1,670441,2024
"MODULO BIO, INC.",San Diego,CA,1,1428644,2024
MOGLING BIO INC,CINCINNATI,OH,1,299781,2024
"MOLECULAR EXPRESS, INC.",RANCHO DOMINGUEZ,CA,3,5999071,2024
"MOLECULAR INSTRUMENTS, INC.",LOS ANGELES,CA,1,905853,2024
MOLECULAR MEDICINE RESEARCH INSTITUTE,SUNNYVALE,CA,1,97500,2024
MOLECULAR TECHNOLOGIES LABORATORIES LLC,COLUMBUS,OH,1,275070,2024
"MOLECULAR THERANOSTICS, LLC",BEACHWOOD,OH,1,294505,2024
MONELL CHEMICAL SENSES CENTER,PHILADELPHIA,PA,11,3950131,2024
"MONOD BIO, INC.",SEATTLE,WA,1,290066,2024
MONTANA CANCER CONSORTIUM,BILLINGS,MT,1,664153,2024
MONTANA CONSORTIUM FOR URBAN INDIAN HEALTH,HELENA,MT,1,447881,2024
MONTANA STATE UNIVERSITY - BOZEMAN,BOZEMAN,MT,30,15080158,2024
MONTANA STATE UNIVERSITY -BILLINGS,BILLINGS,MT,2,499717,2024
MONTCLAIR STATE UNIVERSITY,MONTCLAIR,NJ,2,1152422,2024
"MONTEFIORE MEDICAL CENTER (BRONX, NY)",NEW YORK,NY,1,652084,2024
"MOONLIGHT THERAPEUTICS, INC.",Marietta,GA,1,996384,2024
MOREHOUSE SCHOOL OF MEDICINE,ATLANTA,GA,35,28239975,2024
MOREMME VA LLC,JOHNS CREEK,GA,1,399779,2024
MORGAN STATE UNIVERSITY,BALTIMORE,MD,4,4420860,2024
"MORGRIDGE INSTITUTE FOR RESEARCH, INC.",MADISON,WI,6,2861051,2024
MOSAIC ENGINEERING LLC,RICHMOND,CA,1,321963,2024
MOSES-WEITZMAN HEALTH SYSTEM INC,MIDDLETOWN,CT,1,240714,2024
"MOTHER'S MILK IS BEST, INC.",Tyngsboro,MA,1,798508,2024
MOUNT DESERT ISLAND BIOLOGICAL LAB,SALSBURY COVE,ME,9,6464750,2024
MOUNT HOLYOKE COLLEGE,SOUTH HADLEY,MA,2,857785,2024
MOUNT ST. MARY'S UNIVERSITY,EMMITSBURG,MD,1,52180,2024
"MSTM, LLC",NEWARK,DE,1,258586,2024
"MTI BIOTECH, INC.",AMES,IA,1,957913,2024
"MUCOMMUNE, LLC",Morrisville,NC,2,1328507,2024
MULTNOMAH COUNTY HEALTH DEPARTMENT,PORTLAND,OR,1,410515,2024
"MUTAGENTECH, INC.",BROOKLYN,NY,1,275763,2024
"MY BROTHER'S KEEPER, INC.",RIDGELAND,MS,1,375000,2024
"MY OWN MED, INC.",CHEVY CHASE,MD,1,275942,2024
"MYEXPOSOME, INC.",PHILADELPHIA,PA,1,896020,2024
MYOFINITY BIOSCIENCES INC,BOSTON,MA,1,811438,2024
"MYOGENE BIO, LLC",San Diego,CA,1,110000,2024
"MYOLEX, INC.",Brookline,MA,1,1006120,2024
MYOSIN THERAPEUTICS INC.,JUPITER,FL,1,1348593,2024
MYRACLE THERAPEUTICS INC,EAST HANOVER,NJ,1,324466,2024
MYRIAD ADVANCED TECHNOLOGIES LLC,LADERA RANCH,CA,1,269472,2024
"MYRIAD SENSORS, INC.",Brentwood,TN,1,864053,2024
"MYRIEL, INC.",SAINT PAUL,MN,1,349992,2024
"NAJIT TECHNOLOGIES, INC.",Beaverton,OR,1,986133,2024
"NALU SCIENTIFIC, LLC",HONOLULU,HI,1,1022870,2024
"NANOAFFIX SCIENCE, LLC",MILWAUKEE,WI,2,593800,2024
"NANODIAGNOSTIC TECHNOLOGY, LLC",KANNAPOLIS,NC,1,915031,2024
"NANOHMICS, INC.",AUSTIN,TX,1,716807,2024
"NANOMETICS, LLC",La Jolla,CA,1,1000000,2024
"NANOPATHDX, INC.",CAMBRIDGE,MA,1,996726,2024
"NANOPHARMACEUTICALS, LLC",RENSSELAER,NY,1,792367,2024
"NANOSCOPE TECHNOLOGIES, LLC",ARLINGTON,TX,1,785380,2024
NANOSEPEX INC.,BRIDGEWATER,NJ,1,168337,2024
"NANOTHERAPEUTICS, INC.",ALACHUA,FL,2,1537674,2024
"NANOVALENT PHARMACEUTICALS, INC.",BOZEMAN,MT,1,1000000,2024
"NAPROGENIX, INC",LEXINGTON,KY,1,99510,2024
NARROWS INSTITUTE FOR BIOMEDICAL RES INC,BROOKLYN,NY,1,533948,2024
"NARWHAL BIO, INC.",SAN DIEGO,CA,1,349816,2024
NASONI LLC,SUFFOLK,VA,2,2193083,2024
NATHAN S. KLINE INSTITUTE FOR PSYCH RES,ORANGEBURG,NY,17,17238660,2024
NATIONAL ACADEMY OF SCIENCES,WASHINGTON,DC,11,495000,2024
NATIONAL ALLIANCE FOR HISPANIC HEALTH,WASHINGTON,DC,1,2000000,2024
NATIONAL BUREAU OF ECONOMIC RESEARCH,CAMBRIDGE,MA,20,14027197,2024
NATIONAL CANCER REGISTRAR'S ASSOCIATION,ALEXANDRIA,VA,1,108750,2024
NATIONAL DISEASE RESEARCH INTERCHANGE,PHILADELPHIA,PA,5,6933444,2024
"NATIONAL FORUM FOR HEART DISEASE AND STROKE PREVENTION, INC",WASHINGTON,DC,1,6000,2024
NATIONAL HEALTH PROMOTION ASSOCIATES,WHITE PLAINS,NY,2,981444,2024
NATIONAL JEWISH HEALTH,DENVER,CO,41,35042128,2024
NATIONAL MARROW DONOR PROGRAM,MINNEAPOLIS,MN,2,1257440,2024
NATIONAL MEDICAL ASSOCIATION,SILVER SPRING,MD,2,228000,2024
"NATIONAL MEDICAL SERVICES, INC.",HORSHAM,PA,2,549103,2024
NATIONAL OPINION RESEARCH CENTER,CHICAGO,IL,10,46214603,2024
NATIONAL PARTNERSHIP/ENVIRONMNTL/TECH/ED,SOUTH PORTLAND,ME,2,2094316,2024
NATIONAL UNIVERSITY OF NATURAL MEDICINE,PORTLAND,OR,2,103125,2024
NATIVE AMERICAN COMMUNITY CLINIC,MINNEAPOLIS,MN,1,549103,2024
"NAVEGA THERAPEUTICS, INC.",SAN DIEGO,CA,3,1701459,2024
"NAVINETICS NEUROMODULATION, INC.",ROCHESTER,MN,1,795327,2024
NC STATE DEPT/HLTH & HUMAN SERVICES,RALEIGH,NC,1,375000,2024
"NCAP MEDICAL, LLC",HEBER CITY,UT,1,416443,2024
"NDRI-USA, INC.",NEW YORK,NY,4,2302073,2024
"NE SCIENTIFIC, LLC",BURLINGTON,MA,1,603206,2024
"NECTAGEN, INC.",Lawrence,KS,1,275000,2024
NELSON SCIENTIFIC LABS LLC,POTOMAC,MD,1,989322,2024
NEMALIFE INC.,LUBBOCK,TX,2,617850,2024
"NEMAMETRIX, INC.",Eugene,OR,2,1586288,2024
NEMOURS CHILDREN'S CLINIC,JACKSONVILLE,FL,4,1610307,2024
"NEMOURS CHILDREN'S HOSPITAL, ORLANDO",ORLANDO,FL,4,727064,2024
"NEOCARE INNOVATIONS, INC.",SANTA MONICA,CA,1,295897,2024
"NEONEURON, LLC",San Antonio,TX,1,234772,2024
"NEOVAXSYN, INC.",AMES,IA,2,2300000,2024
NEPHROPATHOLOGY ASSOCIATES,LITTLE ROCK,AR,1,950283,2024
NEPHSMART LLC,LITTLE ROCK,AR,1,274415,2024
"NERX BIOSCIENCES, INC.",INDIANAPOLIS,IN,1,1078680,2024
NEST GENOMICS,ALBANY,CA,1,291643,2024
"NESTED KNOWLEDGE, INC",SAINT PAUL,MN,1,304971,2024
NESTOTUS LLC,NOVI,MI,1,293978,2024
"NEUCYTE, INC.",MOUNTAIN VIEW,CA,2,1000000,2024
"NEUIMMUNE BIOLOGICS, INC.",SYKESVILLE,MD,1,10000,2024
"NEURAEGIS, INC.",Irvine,CA,2,217329,2024
"NEURALENZ, INC",NEW YORK,NY,1,498995,2024
NEURANO BIOSCIENCE,La Jolla,CA,1,837882,2024
"NEUREXIS THERAPEUTICS, INC.",AURORA,CO,2,1237789,2024
"NEURINSIGHT, LLC",ALBUQUERQUE,NM,1,55000,2024
"NEUROBEHAVIORAL SYSTEMS, INC.",ALBANY,CA,1,831176,2024
"NEUROCOMP SYSTEMS, INC.",Laguna Woods,CA,1,231834,2024
NEURODEX INC,ARLINGTON,MA,2,3089179,2024
NEURODON LLC,Crown Point,IN,1,694864,2024
NEUROENE THERAPEUTICS INC,Washington,DC,1,299713,2024
"NEUROGT, INC.",DURHAM,NC,2,1456414,2024
NEUROINDX INC.,TORRANCE,CA,1,514862,2024
"NEUROLOGIC SOLUTIONS, INC.",MCLEAN,VA,1,1204564,2024
"NEUROLUX, INC.",CHAMPAIGN,IL,1,986327,2024
"NEUROMUSCULAR DYNAMICS, LLC",La Crescenta,CA,1,900209,2024
NEURONASAL INC,WEXFORD,PA,1,478165,2024
"NEURONASCENT, INC.",CLARKSVILLE,MD,2,2443556,2024
"NEUROPACE, INC.",MOUNTAIN VIEW,CA,1,1710919,2024
"NEUROPTICS, INC.",IRVINE,CA,1,1092027,2024
NEUROSANT THERAPEUTICS LLC,SAN MARCOS,CA,1,189056,2024
NEUROSCOPE INC.,Scarsdale,NY,1,1193370,2024
NEUROTRAINER INC,SAN FRANCISCO,CA,1,489314,2024
"NEUROVASCULAR DIAGNOSTICS, INC.",BUFFALO,NY,1,1286865,2024
NEUROVATIONS,NAPA,CA,1,850595,2024
NEW ENGLAND COLLEGE OF OPTOMETRY,BOSTON,MA,3,429919,2024
"NEW ENGLAND RESEARCH INSTITUTES, INC.",Wilmington,DE,2,2819179,2024
"NEW HAMPSHIRE ACADEMY OF SCIENCE, INC.",WARREN,NH,1,246456,2024
"NEW HEALTH SCIENCES, INC.",Lexington,MA,1,295963,2024
NEW JERSEY INSTITUTE OF TECHNOLOGY,NEWARK,NJ,14,4761467,2024
"NEW MEXICO START-UP FACTORY II, LLC",ALBUQUERQUE,NM,1,1463014,2024
NEW MEXICO STATE UNIVERSITY LAS CRUCES,LAS CRUCES,NM,19,9886047,2024
NEW SCHOOL UNIVERSITY,NEW YORK,NY,1,53501,2024
NEW YORK BLOOD CENTER,NEW YORK,NY,9,6945551,2024
NEW YORK GENOME CENTER,NEW YORK,NY,21,14964359,2024
NEW YORK HALL OF SCIENCE,CORONA,NY,1,236228,2024
NEW YORK INST OF TECHNOLOGY,OLD WESTBURY,NY,3,1328836,2024
NEW YORK MEDICAL COLLEGE,VALHALLA,NY,17,6408625,2024
"NEW YORK STATE PSYCHIATRIC INSTITUTE DBA RESEARCH FOUNDATION FOR MENTAL HYGIENE, INC",NEW YORK,NY,49,24359399,2024
NEW YORK STRUCTURAL BIOLOGY CENTER,NEW YORK,NY,7,11495001,2024
NEW YORK UNIVERSITY,NEW YORK,NY,198,77138438,2024
NEW YORK UNIVERSITY SCHOOL OF MEDICINE,NEW YORK,NY,611,490227441,2024
NEW YORK/R&D/CTR/TRANSLATIONAL MED/THER,New Rochelle,NY,2,1326329,2024
"NEXTSTEP ROBOTICS, LLC",BALTIMORE,MD,1,1465428,2024
NIGHTINGALE LABS CORPORATION,SOLANA BEACH,CA,1,186251,2024
"NIMBUS RESEARCH LABORATORY, LLC",PROVIDENCE,RI,1,295812,2024
NIRRIN TECHNOLOGIES INC,BILLERICA,MA,1,1219222,2024
"NIRSUM LABORATORIES, INC.",NEW YORK,NY,2,7836460,2024
NORD BIO INC,WILMINGTON,DE,1,295757,2024
NORTH AMERICAN ASSN/CENTRAL CANCER REG,SPRINGFIELD,IL,4,2998205,2024
NORTH AMERICAN VASCULAR BIOLOGY ORG,GERMANTOWN,MD,1,36000,2024
NORTH CAROLINA AGRI & TECH ST UNIV,GREENSBORO,NC,19,5582131,2024
NORTH CAROLINA CENTRAL UNIVERSITY,DURHAM,NC,13,6989047,2024
NORTH CAROLINA STATE UNIVERSITY RALEIGH,RALEIGH,NC,110,48280873,2024
NORTH CENTRAL COLLEGE,NAPERVILLE,IL,1,159201,2024
NORTH DAKOTA STATE UNIVERSITY,FARGO,ND,12,6760181,2024
"NORTH JERSEY AIDS ALLIANCE ,INC. (NJCRI)",NEWARK,NJ,1,285360,2024
NORTHEAST OHIO MEDICAL UNIVERSITY,ROOTSTOWN,OH,16,6326087,2024
NORTHEASTERN ILLINOIS UNIVERSITY,CHICAGO,IL,2,1265507,2024
NORTHEASTERN UNIVERSITY,BOSTON,MA,112,51339190,2024
NORTHERN ARIZONA UNIVERSITY,FLAGSTAFF,AZ,14,12520314,2024
NORTHERN CALIFORNIA INSTITUTE/RES/EDU,SAN FRANCISCO,CA,23,12319800,2024
NORTHERN ILLINOIS UNIVERSITY,DE KALB,IL,4,658718,2024
NORTHERN KENTUCKY UNIVERSITY,HIGHLAND HEIGHTS,KY,3,806000,2024
NORTHERN MICHIGAN UNIVERSITY,MARQUETTE,MI,1,671109,2024
NORTHERN VERMONT UNIVERSITY-JOHNSON,JOHNSON,VT,1,137016,2024
NORTHSHORE UNIVERSITY HEALTHSYSTEM,EVANSTON,IL,15,9697689,2024
NORTHSIDE HOSPITAL ATLANTA,ATLANTA,GA,2,2334405,2024
NORTHWEST INDIAN COLLEGE,BELLINGHAM,WA,2,1562651,2024
NORTHWEST PORTLAND AREA INDIAN HLTH BD,PORTLAND,OR,3,2857464,2024
NORTHWEST PREVENTION SCIENCE INC,EUGENE,OR,3,1842827,2024
NORTHWESTERN UNIVERSITY,Chicago,IL,131,50722837,2024
NORTHWESTERN UNIVERSITY AT CHICAGO,CHICAGO,IL,721,419497487,2024
"NOSTOPHARMA, LLC",POTOMAC,MD,1,44394,2024
NOTRE DAME OF MARYLAND UNIVERSITY,BALTIMORE,MD,1,451560,2024
"NOUR HEART, INC.",EDGEWATER,MD,1,1658923,2024
NOUS BIOSCIENCES INC,DOYLESTOWN,PA,1,308650,2024
NOVA RESEARCH COMPANY,BETHESDA,MD,1,300000,2024
NOVA SOUTHEASTERN UNIVERSITY,Fort Lauderdale-Davie,FL,16,4345411,2024
"NOVAFLUX, INC.",PRINCETON,NJ,1,993963,2024
NOVAGYN LLC,HOPKINTON,NH,1,292752,2024
"NOVASTERILIS, INC.",LANSING,NY,1,860611,2024
"NOVATEUR RESEARCH SOLUTIONS, LLC",Ashburn,VA,1,354985,2024
"NOVIS PRODUCTS, LLC",JACKSONVILLE,FL,1,333810,2024
"NOVOBIOTIC PHARMACEUTICALS, LLC",CAMBRIDGE,MA,3,2509591,2024
"NOVOMEDIX, INC.",SAN DIEGO,CA,2,806872,2024
NOVUS VISION LLC,BALTIMORE,MD,1,964469,2024
"NRG ONCOLOGY FOUNDATION, INC.",PHILADELPHIA,PA,4,30794742,2024
NUAGO THERAPEUTICS INC,CHICAGO,IL,1,400000,2024
"NUBAD, LLC",GREER,SC,5,3164628,2024
"NUBORN MEDICAL, INC.",Eden Prairie,MN,1,859275,2024
"NUCLEUSRX, INC.",EAST WINDSOR,NJ,1,321363,2024
NUMENTUS TECHNOLOGIES INC.,MENLO PARK,CA,2,596871,2024
"NUPEAK THERAPEUTICS, INC.",SAINT LOUIS,MO,1,1018383,2024
NURELM E-BUSINESS SOFTWARE,PITTSBURGH,PA,2,1603273,2024
"NUVOX PHARMA, LLC",TUCSON,AZ,1,299243,2024
"NYSDOH/HEALTH RESEARCH, INC.",MENANDS,NY,3,2844778,2024
NYTRICX INC.,ATHENS,GA,5,1465375,2024
NYU LONG ISLAND SCHOOL OF MEDICINE,MINEOLA,NY,9,5838688,2024
NZUMBE EPIGENETICS,PORTLAND,OR,1,576749,2024
"O2M TECHNOLOGIES, LLC",CHICAGO,IL,1,400000,2024
"OAI, INC.",CHICAGO,IL,1,2312072,2024
OAK CREST INSTITUTE OF SCIENCE,MONROVIA,CA,5,3938620,2024
OAK RIDGE ASSOCIATED UNIVERSITIES,OAK RIDGE,TN,1,1198151,2024
OAKLAND UNIVERSITY,ROCHESTER,MI,15,4657043,2024
OASIS PHARMACEUTICALS,LEXINGTON,MA,1,999799,2024
"OBATALA SCIENCES, INC.",NEW ORLEANS,LA,1,150234,2024
"OBJECTIVE BIOTECHNOLOGY, INC.",MINNEAPOLIS,MN,1,294543,2024
"OBJECTIVE ED, INC.",WELLINGTON,FL,1,55000,2024
OCCIDENTAL COLLEGE,LOS ANGELES,CA,2,807387,2024
"OCEAN STATE RESEARCH INSTITUTE, INC.",PROVIDENCE,RI,6,3050755,2024
"OCHIN, INC.",PORTLAND,OR,2,4159206,2024
"ODMR TECHNOLOGIES, INC.",EL CERRITO,CA,1,305000,2024
OGB4 INC,CINCINNATI,OH,1,1188244,2024
"OGB5, INC.",CINCINNATI,OH,1,320251,2024
OHIO STATE UNIVERSITY,COLUMBUS,OH,576,260901807,2024
OHIO UNIVERSITY ATHENS,ATHENS,OH,16,13022312,2024
OKLAHOMA MEDICAL RESEARCH FOUNDATION,OKLAHOMA CITY,OK,63,38726539,2024
OKLAHOMA STATE UNIVERSITY STILLWATER,STILLWATER,OK,29,11821059,2024
OLD DOMINION UNIVERSITY,NORFOLK,VA,23,7318796,2024
OLERA INC.,BRYAN,TX,1,963410,2024
"OLIGOMERIX, INC",White Plains,NY,2,1834730,2024
OLIPHA INC,WILMINGTON,DE,1,293629,2024
OLMEDA BIOSCIENCES LLC,SAN DIEGO,CA,1,396161,2024
"OMEGAQUANT ANALYTICS, LLC",SIOUX FALLS,SD,1,506500,2024
OMEROS CORPORATION,SEATTLE,WA,1,845252,2024
"OMICSCRAFT, LLC",WASHINGTON,DC,1,2000000,2024
"OMNIOX, INC.",San Francisco,CA,1,995592,2024
OMNISYNC INCORPORATED,SAN DIEGO,CA,1,299957,2024
"OMVAX, INC.",SAN FRANCISCO,CA,1,373730,2024
"ON DEMAND PHARMACEUTICALS, INC.",ROCKVILLE,MD,1,325000,2024
"ONC.AI, INC.",SAN CARLOS,CA,1,1625000,2024
"ONCOARENDI THERAPEUTICS, LLC",GROTON,CT,1,241125,2024
ONCOBIOMIX INC.,SAN ANTONIO,TX,1,400000,2024
ONCOBLAZE LLC,CHARLESTON,SC,1,374095,2024
"ONCOSPHERIX, INC.",ATLANTA,GA,1,1025001,2024
ONCOSTING LLC,BALTIMORE,MD,1,270176,2024
"ONCTERNAL THERAPEUTICS, INC.",San Diego,CA,2,1057034,2024
ONCURIE INC.,RALEIGH,NC,1,349808,2024
"ONDAVIA, INC.",HAYWARD,CA,2,759265,2024
"ONE COW STANDING, LLC",DURHAM,NC,1,987455,2024
"ONWARD HEALTH, INC",SAN LEANDRO,CA,1,1165908,2024
OPEN AID ALLIANCE,MISSOULA,MT,1,375000,2024
"OPERA BIOSCIENCE, INC.",Evanston,IL,1,275765,2024
OPREMS LLC,NORTHBROOK,IL,1,295876,2024
OPSICLEAR LLC,Cleveland,OH,1,1002315,2024
"OPTIMEOS LIFE SCIENCES, INC.",Princeton,NJ,1,300000,2024
OPUS GENETICS INC.,RALEIGH,NC,1,882971,2024
"ORA BIOMEDICAL, INC.",TUKWILA,WA,1,324240,2024
"ORBIT GENOMICS, INC.",BOULDER,CO,1,999554,2024
OREGON HEALTH & SCIENCE UNIVERSITY,PORTLAND,OR,495,277032651,2024
